0.0,0.0,82.2,0.0,0.0,0.0,0.0,0.0,45.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,76.02,0.0,0.0,0.0,0.0,0.0,67.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,69.30,0.0,0.0,0.0,0.0,0.0,89.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,49.80,0.0,0.0,0.0,0.0,0.0,100.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.11,0.0,0.0,0.0,0.0,0.0,112.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,21.45,0.0,0.0,0.0,0.0,0.0,134.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.0,158.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,33.42,0.0,0.0,0.0,0.0,0.0,134.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.54,0.0,0.0,0.0,0.0,0.0,157.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.87,0.0,0.0,0.0,0.0,0.0,158.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
