0.0,0.0,82.2,0.0,0.0,0.0,0.0,0.0,40.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,76.02,0.0,0.0,0.0,0.0,0.0,60.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,69.30,0.0,0.0,0.0,0.0,0.0,80.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,49.80,0.0,0.0,0.0,0.0,0.0,100.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.11,0.0,0.0,0.0,0.0,0.0,120.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,21.45,0.0,0.0,0.0,0.0,0.0,140.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.0,174.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,33.42,0.0,0.0,0.0,0.0,0.0,130.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.54,0.0,0.0,0.0,0.0,0.0,150.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.87,0.0,0.0,0.0,0.0,0.0,170.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
